date,open,close,high,low,volume
2025-01-02,288.93,278.14,289.22,274.56,80246.12
2025-01-03,279.32,277.18,283.29,274.89,65996.04
2025-01-06,277.91,278.07,283.29,275.26,44971.46
2025-01-07,279.32,288.69,288.78,278.57,72286.76
2025-01-08,285.97,285.43,287.88,279.15,58253.21
2025-01-09,285.38,285.01,287.82,284.13,36101.12
2025-01-10,284.94,283.5,291.55,282.89,50519.51
2025-01-13,279.29,282.62,284.5,279.15,36305.31
2025-01-14,284.82,289.19,290.78,275.71,72982.26
2025-01-15,287.36,282.5,288.8,282.38,52577.96
2025-01-16,285.83,289.93,297.04,285.27,83859.71
2025-01-17,288.19,287.14,294.84,285.72,64199.71
2025-01-20,288.21,287.14,291.13,286.27,50122.51
2025-01-21,288.94,290.86,293.3,286.34,59282.28
2025-01-22,290.73,284.43,291.52,283.96,57733.62
2025-01-23,287.45,285.02,293.21,283.17,72577.1
2025-01-24,284.61,280.37,286.2,280.21,80041.08
2025-01-27,280.37,278.58,280.94,277.35,44739.16
2025-02-05,283.02,279.35,283.75,275.63,64102.27
2025-02-06,277.48,303.93,303.93,277.2,166716.63
2025-02-07,302.82,301.18,304.82,296.76,103162.93
2025-02-10,302.23,300.0,302.23,295.7,63714.1
2025-02-11,298.54,296.82,300.75,294.21,52964.05
2025-02-12,299.27,306.41,307.53,299.01,98060.52
2025-02-13,305.78,302.71,310.82,302.15,59596.2
2025-02-14,300.05,308.81,309.47,297.21,75095.9
2025-02-17,310.36,316.18,316.79,308.63,91472.98
2025-02-18,320.87,319.23,330.05,317.05,117787.44
2025-02-19,319.21,337.7,338.44,317.76,108953.73
2025-02-20,336.22,336.96,341.08,333.55,64883.87
2025-02-21,336.22,343.63,349.77,334.75,82757.44
2025-02-24,343.61,345.83,350.26,339.92,69576.24
2025-02-25,340.69,336.98,343.82,332.01,79481.37
2025-02-26,339.92,343.02,347.03,334.01,59869.67
2025-02-27,342.13,340.23,343.98,335.48,44080.34
2025-02-28,339.84,330.52,342.56,327.27,72592.75
2025-03-03,329.82,321.69,330.38,319.6,51738.72
2025-03-04,319.23,318.13,321.44,314.05,54264.04
2025-03-05,318.18,319.51,325.37,317.79,41217.23
2025-03-06,329.48,341.68,351.46,329.48,102452.48
2025-03-07,337.59,343.61,347.81,337.54,58516.16
2025-03-10,341.76,336.93,346.4,335.06,41878.64
2025-03-11,337.71,328.29,342.6,325.38,61762.89
2025-03-12,328.29,327.21,330.68,323.2,44664.87
2025-03-13,326.11,319.99,328.01,317.45,42567.26
2025-03-14,319.99,324.48,328.42,318.64,46199.5
2025-03-17,328.42,322.11,328.46,321.54,33396.07
2025-03-18,324.4,324.16,327.87,322.4,30221.26
2025-03-19,322.18,321.42,323.83,319.43,25317.73
2025-03-20,320.7,316.98,320.7,316.27,30938.68
2025-03-21,317.38,309.47,318.97,306.04,54037.77
2025-03-24,309.47,317.31,320.59,308.98,54833.9
2025-03-25,318.12,316.92,318.49,315.09,24789.96
2025-03-26,315.17,316.0,320.56,314.93,26091.7
2025-03-27,315.16,318.04,321.84,313.46,32372.96
2025-03-28,318.11,307.33,318.93,304.45,71392.04
2025-03-31,304.45,307.4,309.58,303.77,50044.97
2025-04-01,308.14,317.16,317.5,306.67,63066.84
2025-04-02,317.0,317.16,317.6,310.8,37538.98
2025-04-03,314.13,325.12,331.42,313.93,65387.96
2025-04-07,321.44,319.82,333.64,309.91,127317.27
2025-04-08,323.66,318.5,327.21,312.58,94011.52
2025-04-09,315.1,339.92,345.02,313.37,121063.36
2025-04-10,339.92,333.64,343.25,332.53,71464.41
2025-04-11,332.53,338.07,346.81,329.73,72367.48
2025-04-14,342.03,338.07,342.03,333.87,42860.28
2025-04-15,334.97,334.01,336.22,329.82,41436.43
2025-04-16,332.16,345.82,346.53,332.16,66435.67
2025-04-17,343.46,342.38,345.02,341.1,33620.58
2025-04-18,340.69,335.13,342.37,331.05,38832.06
2025-04-21,333.82,337.24,338.36,332.93,24803.59
2025-04-22,335.11,341.28,348.49,334.14,42899.53
2025-04-23,340.66,336.81,341.28,332.9,42027.42
2025-04-24,336.22,337.09,338.3,334.01,23715.0
2025-04-25,335.48,334.95,337.61,330.68,33474.99
2025-04-28,335.71,335.79,340.36,334.97,40483.91
2025-04-29,335.48,335.79,336.23,331.43,22152.7
2025-04-30,334.74,333.24,335.41,328.77,41152.4
